Debate Chatbots DE 2
Zeitstempel,"Was interessiert Sie am meisten an politischen Debatten, wie zum Beispiel SRF Arena?",Was gefällt Ihnen nicht an politischen Debatten? (Wenn überhaupt etwas),Wie möchten Sie am liebsten an einer interaktiven Chatbot-Debatte teilnehmen?,"Welche Art von Unterstützung würden Sie sich von dem System wünschen, um dir die Teilnahme zu erleichtern?",Wie stark sollte die Debatte von einer unabhängigen Partei moderiert werden?,Wieso bevorzugen Sie diese Form? (aus der vorherigen Frage),"Wie lange sollte eine Debattenrunde dauern, bevor Sie das Interesse daran verlieren würden?","Was sollte in der Debatte geschehen, dass Sie sie spannend finden?","Wie wichtig sind Ihnen audiovisuelle Elemente (z.B. Videos, Diagramme, Audiokommentare) in einer Chatbot-Debatte?",Welche visuellen Elemente würden Ihnen für das Design der Debatte mit Chatbots am besten gefallen?,"Wie sollte die Debatte beginnen? (z.B. mit einer kurzen Einführung zu den einzelnen Chatbots, direkt in die Debatte einsteigen)",Wie deutlich sollten Chatbots ihre Perspektiven oder Rollen identifizieren?,"Wie hilfreich wären für Sie gelegentliche Zusammenfassungen während der Debatte (z. B. „Chatbot A argumentiert für X, Chatbot B ist aufgrund von Y anderer Meinung”)?","Wie hilfreich wäre es für Sie, am Ende eine Zusammenfassung zu haben (z. B. mit Lernpunkten)?","Welche Vorteile sehen Sie, wenn Sie mit einer Chatbot-Debatte interagieren können, im Vergleich zu anderen Formaten?","Was könnte Sie davon abhalten, an einer Chatbot-Debatte teilzunehmen oder diese anzusehen?","Gibt es noch etwas, das Sie hinzufügen möchten, was Sie zuvor noch nicht konnten?",Wie alt sind Sie?,Was ist Ihr Geschlecht?,Was ist Ihr höchster Bildungsabschluss?,Was ist Ihre aktuelle berufliche Beschäftigung,Was ist Ihre politische Einstellung?
2025/10/30 6:36:24 AM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden);Aktiv teilnehmen und meine eigene Meinung vertreten",Dass es viel zu lang geht. Ich wünschte die Debatten würden kürzer dauern.,Aktiv an der Diskussion teilnehmen und eigene Argumente einbringen,Keine aktive Unterstützung durch das System,Eine Mischung aus beidem,Damit es ausbalanciert ist. Wir möchten schon am Thema bleiben und nicht abschweifen. Aber gleichzeitig möchten wir die Debatte offen behalten.,Mehr als 15 Minuten,"Mich würde es am meisten interessieren, dass die Chatbots offen bleiben würden und voneinendar lernen könnten.",Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Dunkles, fokussiertes Design",Was denkst du über ...?,"Überhaupt nicht, das würde zu vielen Vorurteilen führen.",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Dass ich nicht erwarte, ein Chatbot seine Meinung gut darstellen kann. Es ist meistens so, dass die Chatbots ihre Meinungen relativ schnell ändern.","Ich finde es spannender, direkt mit den Menschen zu diskutieren, da ich der Meinung bin, dass die Menschen ihre Meinungen besser und stärker repräsentieren können.","Es wäre vielleicht interessant, das Resultat von solcher Debatte irgendwo zu veröffentlichen. Das könnte zum Beispiel auf LinkedIn sein, um zu zeigen, welche Meinung besser repräsentiert wurde etc. Ich fände das vor allem interessant, dass gewisse Menschen ihre Meinung nicht so gut verteidigen können, auch wenn sie faktisch wäre z.B.",25-34 Jahre,Männlich,Bachelor-Abschluss,Studierende,Mitte
2025/10/26 9:50:35 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",Oft zu polemisch,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, etwas zu kommentieren;Das System fordert auf, nach der Debatte eine Position zu wählen",Eine Mischung aus beidem,Man sollte auch mal was laufen lassen und ggf anderswo kompensieren,Mehr als 15 Minuten,"Verschiedene Positionen und echte Auseinandersetzung, nicht nur phrasendreschen und point placement","Nett, aber nicht notwendig","Helles, klares Design",Einführung & background,"Im/unter Namen, wie sonst auch","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Etwas hilfreich,"Fragen aufwerfen, die sonst nicht behandelt würden",Das Leben,,45-54 Jahre,Männlich,Master-Abschluss,Studierende,Mitte
2025/10/27 4:10:18 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind","Unsachlichkeiten, Übertreibungen, persönliche Angriffe",Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,"Die Chance, dass alle ""gehört"" werden, steigt mit klaren Redezeiten",10-15 Minuten,Teilnehmer evt. interaktiv miteinbeziehen,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,kurzes Intro erleichtert Einstieg ins Thema,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,weniger Spontanität erforderlich,ist wohl abhängig von der Themenwahl,,45-54 Jahre,Männlich,Lehre/ Ausbildung,Vollzeit beschäftigt,Mitte
2025/10/27 9:44:16 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen)",,Beobachten und zuhören,"Das System fordert auf, etwas zu kommentieren",Nur zeitliche Begrenzung und/oder Anzahl Wörter,Weil man durch Interaktion gefordert ist den eigenen Standpunkt einzubringen und so möglicherweise mehr lernt als nur vom zuhören.,Mehr als 15 Minuten,Meinungen möglichst divers und unterschiedlich,"Nett, aber nicht notwendig",Am besten Audio mit Untertiteln,"Thema erläutern, Grundpositionen der Bots","Klare Farbe, nicht Partei-bezogen. Aber mit einem klaren Standpunkt",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Ist u.U. umfassender, weniger eng und vermutlich sachlicher, weil nicht emotional. Könnte aber auch der entscheidende Nachteil einer Bot Debatte sein.","Geschwindigkeit zu hoch, Sprache zu umständlich, zu eintönig.","Ich würds unbedingt als Audiodebatte anbieten, dann würde noch die Möglichkeit bestehen ad hoc die Daten visuell als Graphen zu zeigen. Und wenn  einem das zu viel ist, kann man nur zuhören und mitlesen (podcast)",45-54 Jahre,Männlich,Promotion,Vollzeit beschäftigt,Je nach Thema links oder rechts
2025/10/25 7:39:58 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",Zusammenhänge und Vertiefung von Themen,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, etwas zu kommentieren;Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten",Eine Mischung aus beidem,KI muss geführt werden. ,Mehr als 15 Minuten,Auf neue argumente eingehen und vertiefen. ,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Fragestellung und ausgangslage der Positionen. Ziel der ,Diskret (z. B. mit der Farbe der Chat-Blase),Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,Meine Fragen werden abgeholt,Keine Tiefe ,Nein,55-65 Jahre,Männlich,Master-Abschluss,Vollzeit beschäftigt,Mitte
2025/10/23 8:11:37 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",,Interessiert mich nicht,Keine aktive Unterstützung durch das System,Nicht von chatbot,Chatbot ist Algorithmus gesteuert und damit manipulativ,5-10 Minuten,,"Nett, aber nicht notwendig",Minimalistisch und textbasiert,No chatbot,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Nicht wichtig,Aversion gegen chatbot,Siehe oben: aversion,Chatbot ist in politischen Bereichen ein Grundübel und ohne jegliche ethische und moralische Legitimation,55-65 Jahre,Möchte ich lieber nicht sagen,Master-Abschluss,Vollzeit beschäftigt,Eher Links
2025/10/26 8:01:16 AM MEZ,"Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",Gefieder Respekt zwischen den Teilnehmenden ,Aktiv an der Diskussion teilnehmen und eigene Argumente einbringen,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,"Ich finde freien Austausch wichtig, aber es soll nicht ausufern ",10-15 Minuten,,"Nett, aber nicht notwendig",Farbige Akzente für verschieden Themen oder Positionen,Einführung zu den Chatbots und auch zum Thema,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Möglichkeit zu Pausieren, selbst in einem ungezwungen Rahmen Debattieren ausprobieren","Ohne die Möglichkeit, selber an der Debatte teilzunehmen, sehe ich keinen wirklichen Mehrwert am Chatbot (vs einer realen Debatte zuzuschauen)","Bei der Zusammenfassung am Ende fände ich es sehr spannend, diese nicht nur zum Inhalt zu machen, sondern auch zum Debattierstil/Strategie der Chatbots (und ev. Auswertung der eigenen Strategie). ",18-24 Jahre,Nicht binär,Bachelor-Abschluss,Studierende,Links
2025/10/23 2:59:21 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",,Aktiv an der Diskussion teilnehmen und eigene Argumente einbringen,"Das System fordert auf, etwas zu kommentieren;Das System fordert auf, nach der Debatte eine Position zu wählen;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,ohne Moderator gewinnt der lautere,10-15 Minuten,,"Nett, aber nicht notwendig",Farbige Akzente für verschieden Themen oder Positionen,"kurze Einführung zum Thema, Positionierung der Chatbots","Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,keine Angst vor dummen Fragen,falls es nicht gut funktioniert,,18-24 Jahre,Weiblich,Bachelor-Abschluss,Vollzeit beschäftigt,Eher Links
2025/10/23 3:02:44 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",Wenn die Diskutierenden nicht richtig gegenseitig zuhören,Beobachten und zuhören,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,"Falls ein Gleichgewicht nicht sich natürlich einstellt (jemand viel mehr Zeit in Anspruch nimmt und die andere Seite nicht zu Wort kommt), dass dann ein Moderator einschreiten kann",5-10 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Visuelle Elemente wie z.b. Emojis, Symbole, Reaktionssymbole",Das zu debattierende Thema und die Positionen der Chatbots erläutern ,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Tiefere Hemmschwelle etwas zu Fragen, da es ja keine echten Personen sind",Wenn es zu monoton klingt,,18-24 Jahre,Weiblich,Bachelor-Abschluss,Studierende,Mitte
2025/10/23 3:05:55 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden);Aktiv teilnehmen und meine eigene Meinung vertreten",schlechte Moderation (falls),Aktiv an der Diskussion teilnehmen und eigene Argumente einbringen,"Das System fordert auf, etwas zu kommentieren;Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,"Zu stark wäre wahrscheinlich sehr regulativ und nähme den Sinn einer freien Debatte weg, jedoch wäre ein gewisses Grad Moderation wichtig damit die Debatte auch fair & klar geführt wird und unparteiisch",5-10 Minuten,neue Argumente die auch auf Kritik von den anderen eingehen,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,kurze Einführung und Startpunkt der Debatte erklären,Diskret (z. B. mit der Farbe der Chat-Blase),Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,"die Möglichkeit ein eigenes Argument ""zu üben"" / nach Schwächen & Verbesserungspotenzial beim eigenen Argument zu suchen ",den Sinn / das Ziel des Ganzen,,18-24 Jahre,Weiblich,Sekundarschule,Studierende,Eher Links
2025/10/23 3:11:23 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",Das geschreihe,Aktiv an der Diskussion teilnehmen und eigene Argumente einbringen,"Das System fordert auf, etwas zu kommentieren;Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten",Stark - klare Redezeiten und Themen sind wichtiger,Weil dadurch beide partein zu wort kommen,10-15 Minuten,Live?,"Nett, aber nicht notwendig","Helles, klares Design",Mit einer kurzen info um was es geht allg und die grundpositionen,Diskret (z. B. mit der Farbe der Chat-Blase),"Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Das mehr informationen aus dem internet zugänglich sind,Datenschutz?,,18-24 Jahre,Weiblich,Bachelor-Abschluss,Studierende,Mitte
2025/10/23 3:14:12 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",wenn emotionale statt sachliche Argumente eingebracht werden,Aktiv an der Diskussion teilnehmen und eigene Argumente einbringen,"Das System fordert auf, etwas zu kommentieren;Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,damit es nicht vom Thema abkommt und auch damit alle zur Sprache kommen,10-15 Minuten,es sollen Gegenargumente geliefert werden,"Nett, aber nicht notwendig",Farbige Akzente für verschieden Themen oder Positionen,vielleicht kurz Zsmhang des Themas ansprechen und dann Positionen der Chatbots,"Überhaupt nicht, das würde zu vielen Vorurteilen führen.","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,man ist engagierter und kann auch selbst mehr lernen,da es vielleicht nur um sehr generische Positionen gehen wird und nicht so echt wirkt,,18-24 Jahre,Weiblich,Bachelor-Abschluss,Studierende,Links
2025/10/23 3:23:42 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",gewisse Aggressivität,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, nach der Debatte eine Position zu wählen;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,"Mitdenken fördern, neue perspektiven zu einem Thema entdecken",10-15 Minuten,stichhaltige Argumente bringen die zum nachdenken anregen,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Visuelle Elemente wie z.b. Emojis, Symbole, Reaktionssymbole",kurze einführung worum es geht,"Überhaupt nicht, das würde zu vielen Vorurteilen führen.","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,weniger miese Stimmung,-,,18-24 Jahre,Weiblich,Sekundarschule,Studierende,
2025/10/23 4:39:48 PM MEZ,Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden,Wenn man nicht offen für andere Meinungen ist und nicht mal ein wenig einsicht in andere Meinungen haben kann.,Chatbot-Beiträge bewerten oder Feedback dazu geben,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten",Eine Mischung aus beidem,"Ich finde es spannend, wenn es einen mix aus beidem gibt, um so auch eine Struktur herstellen zu können.",10-15 Minuten,verschiedene Ansichten werden geteilt,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Helles, klares Design",eine kurze Einführung wäre angebracht,Diskret (z. B. mit der Farbe der Chat-Blase),"Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,-,"Ein Thema, dass mich nicht interessiert ",,18-24 Jahre,Weiblich,Lehre/ Ausbildung,Studierende,Eher Links
2025/10/23 5:33:44 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",Verbreitung faktisch inkorrekter Informationen,Beobachten und zuhören,Keine aktive Unterstützung durch das System,Lose - freier Austausch ist wichtiger,"Eine lose Moderation ermöglicht einen natürlicheren, spontanen Austausch, bei dem neue Ideen und Perspektiven freier entstehen können.",5-10 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Helles, klares Design",Eine kurze Einführung wäre hilfreich. Dadurch hat man von Anfang an ein gutes Verständnis von der Thematik. ,Diskret (z. B. mit der Farbe der Chat-Blase),"Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Ermöglicht es, jederzeit und ohne soziale Hemmungen unterschiedliche Argumente auszutauschen und das eigene Denken flexibel zu hinterfragen.",Angst vor falschen Informationen. ,,18-24 Jahre,Weiblich,Bachelor-Abschluss,Studierende,Mitte
2025/10/23 6:08:51 PM MEZ,"Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)","Oft merkt man welche Ansichtsweise der Moderator, sofern es einen gibt, mehr unterstützt. Dies verzerrt die Debatte leider oftmals",Beobachten und zuhören,"Das System fordert auf, nach der Debatte eine Position zu wählen",überhaupt nicht (kein Moderator erforderlich),"Oft stellt sich der Moderator unbewusst oder teils auch bewusst auf eine Seite, was dir Debatte verzerrt",5-10 Minuten,Viele Widersprüche mit klaren Argumenten,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Helles, klares Design",kurze sachliche Einführung zum Thema,Diskret (z. B. mit der Farbe der Chat-Blase),Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Man kann keine Vorurteile gegenüber Aussehen oder Ähnlichem haben, da es sich um eine KI handelt","Ich kann mir vorstellen, dass es zu unpersönlich sein könnte",,18-24 Jahre,Weiblich,Lehre/ Ausbildung,Vollzeit beschäftigt,Eher Recht
2025/10/23 6:20:40 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)","Wenn Personen sich der Diskussion entziehen, indem sie die andere Seite persönlich beleidigen oder ihr Dingen in die Schuhe schiehen.",Aktiv an der Diskussion teilnehmen und eigene Argumente einbringen,"Das System fordert auf, die Argumente der Chatbots zu bewerten;Keine aktive Unterstützung durch das System;Das System fasst die Argumente der Gegenseite kurz und knapp zusammen",Stark - klare Redezeiten und Themen sind wichtiger,Weil dann alle zu Wort kommen und sich der Zuhörer eine eigene Meinung bilden kann,Mehr als 15 Minuten,Hängt sehr von den Debattierenden ab: Sie sollten respektvoll und kenntnisreich sein,"Nett, aber nicht notwendig",Minimalistisch und textbasiert,Direkt in Debatte einsteigen,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Man erkennt Argumente, die man von sich selber aus vielleicht nicht gesehen hätte. ","Was mich davon abhält ist die Angst, dass Menschen sich zu sehr auf die Chatbots verlassen und zu faul werden, ihr eigenes Gehirn zu benutzen, um Argumente zu formulieren und zu beurteilen.",,18-24 Jahre,Weiblich,Bachelor-Abschluss,Studentin und Teilzeitarbeit,Rechts
2025/10/23 9:05:37 PM MEZ,Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen),Wenn Argumente persönlich werden ,Ab und zu kommentieren und Fragen stellen,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten",Eine Mischung aus beidem,Ausgleich ist immer wichtig,10-15 Minuten,Argumente wechseln,"Nett, aber nicht notwendig","Visuelle Elemente wie z.b. Emojis, Symbole, Reaktionssymbole",Kurze Einführung,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,Einfache antworten,Unsicherheit ,,18-24 Jahre,Weiblich,Master-Abschluss,Vollzeit beschäftigt,Eher Links
2025/10/23 9:16:19 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",Die Meinungsverschiedenheiten,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, etwas zu kommentieren;Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten",Stark - klare Redezeiten und Themen sind wichtiger,Dass nicht eine der Seiten untergeht,5-10 Minuten,"Sie soll schnelllebig sein, aber trotzdem mit fundierten Argumenten",Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Kurze Einführung zu den Chatbots und welche Position sie vertreten,Diskret (z. B. mit der Farbe der Chat-Blase),Nicht wichtig – wäre eher zu viel Information,Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Man hat weniger Hemmungen, politische Themen zu diskutieren als mit Menschen.",Wenn die politische Korrektheit der Sprache nicht gegeben ist.,,18-24 Jahre,Weiblich,Bachelor-Abschluss,Studierende,Mitte
2025/10/24 5:44:48 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind",,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, nach der Debatte eine Position zu wählen;Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,weil es wichtig ist allen die gleiche Möglichkeit zu geben ,10-15 Minuten,"fundiertes wissen, fakten müssen fundiert sein und kurz bewiesen werden - kein krasses rumgerede, um die aufmerksamkeit zu gewinnen ","Nett, aber nicht notwendig","Helles, klares Design",kurze einführung,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,"mehr übersicht, direkte fragen und austausch und eine gute zusammenfassung am schluss ","zu forciert, dass man teilnimmt ",,18-24 Jahre,Weiblich,Bachelor-Abschluss,Teilzeit beschäftigt,Eher Links
2025/10/24 5:57:48 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind",,Chatbot-Beiträge bewerten oder Feedback dazu geben,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,"Es soll eine lebhafte Diskussion entstehen können, jedoch nicht einer komplett die andere Seite dominieren.",10-15 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Eine kurze Einführung ,Diskret (z. B. mit der Farbe der Chat-Blase),"Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Hat Zugriff auf viele Aspekte,Es ist ein Chatbot,,18-24 Jahre,Weiblich,Sekundarschule,Studierende,Mitte
2025/10/24 5:58:33 PM MEZ,Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen),,Ab und zu kommentieren und Fragen stellen,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten",Eine Mischung aus beidem,"Wenn beide Teilnehmenden einfach darauf zureden können, wird es verwirrend. Eine Leitung, die die Teilnehmenden ausreden lässt und die ganze Debatte begleitet, finde ich wichtig. ",Mehr als 15 Minuten,Zu Beginn eine kurze Zusammenfassung des Themas und der beiden Seiten. Mit Fakten und Daten unterlegte Beispiele (evt. auch mit Grafiken und anderen bildlichen Darstellungen),Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Kurze Einführung des Themas und der einzelnen Bots. ,"Überhaupt nicht, das würde zu vielen Vorurteilen führen.","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Man kann als Aussenstehende Fragen stellen,"Der Job der jetzt durch den Bot ersetzt werden würde, wäre weg. Das finde ich grundsätzlich schade bei KI. ",,18-24 Jahre,Weiblich,Sekundarschule,Studierende,Eher Links
